Income	Response	Kids	Expenses	TotalAcceptedCmp	NumTotalPurchases	Age	Days_Customer	Related	Single	Unrelated	Post-Graduate	Under-Graduate
54178.0	0	1	194	0	10	55	3016	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	3	603	0	29	65	3444	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	2	18	0	4	65	2890	0.0	1.0	0.0	1.0	0.0
52247.25135379061	0	0	985	0	15	49	3075	1.0	0.0	0.0	1.0	0.0
42394.0	0	1	32	0	5	50	2955	0.0	1.0	0.0	1.0	0.0
23626.0	0	1	43	0	10	52	2893	1.0	0.0	0.0	1.0	0.0
30096.0	0	1	45	0	6	39	2895	1.0	0.0	0.0	1.0	0.0
47916.0	0	1	606	1	22	62	3441	0.0	1.0	0.0	1.0	0.0
51813.0	0	2	63	0	7	50	3094	0.0	1.0	0.0	1.0	0.0
78497.0	0	0	978	1	25	71	3390	1.0	0.0	0.0	1.0	0.0
50150.0	0	0	410	0	16	39	3231	1.0	0.0	0.0	1.0	0.0
47823.0	0	1	72	0	7	62	3198	0.0	1.0	0.0	1.0	0.0
34554.0	0	1	55	0	7	63	2948	0.0	1.0	0.0	1.0	0.0
85693.0	0	1	1169	0	27	43	3292	1.0	0.0	0.0	1.0	0.0
65846.0	0	0	1120	0	16	77	3265	1.0	0.0	0.0	1.0	0.0
87195.0	1	0	1097	0	20	63	2820	1.0	0.0	0.0	1.0	0.0
24594.0	0	1	29	0	5	43	3117	1.0	0.0	0.0	0.0	1.0
49096.0	0	2	187	0	13	58	3135	1.0	0.0	0.0	1.0	0.0
52413.0	0	2	910	0	26	53	3369	1.0	0.0	0.0	1.0	0.0
38557.0	0	1	145	0	9	44	3414	0.0	1.0	0.0	1.0	0.0
89058.0	0	0	850	0	14	62	3574	1.0	0.0	0.0	1.0	0.0
77298.0	0	1	969	0	24	43	3360	1.0	0.0	0.0	1.0	0.0
68126.0	1	0	1820	1	17	31	3483	0.0	1.0	0.0	1.0	0.0
57288.0	0	1	608	1	20	59	2861	1.0	0.0	0.0	1.0	0.0
86037.0	1	0	730	2	25	31	3370	0.0	1.0	0.0	1.0	0.0
43974.0	0	1	551	0	21	42	3421	1.0	0.0	0.0	1.0	0.0
50785.0	0	2	114	0	8	60	3120	0.0	1.0	0.0	1.0	0.0
90765.0	0	0	1724	2	15	52	3013	1.0	0.0	0.0	1.0	0.0
36550.0	0	1	577	0	20	44	3352	1.0	0.0	0.0	1.0	0.0
30753.0	0	2	81	0	7	55	3091	1.0	0.0	0.0	1.0	0.0
21918.0	0	1	33	0	7	53	3084	1.0	0.0	0.0	1.0	0.0
56129.0	0	1	660	0	22	69	3231	1.0	0.0	0.0	1.0	0.0
32557.0	1	1	80	0	9	55	2982	0.0	1.0	0.0	1.0	0.0
19510.0	0	2	30	0	6	37	3303	1.0	0.0	0.0	1.0	0.0
30992.0	0	1	43	0	5	46	3290	0.0	1.0	0.0	1.0	0.0
101970.0	1	0	1135	3	27	39	3065	0.0	1.0	0.0	1.0	0.0
71488.0	0	0	559	0	16	57	3353	1.0	0.0	0.0	1.0	0.0
79607.0	1	0	1923	0	16	38	3291	0.0	1.0	0.0	1.0	0.0
54348.0	0	2	90	0	8	69	2819	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	1	404	0	17	61	3091	1.0	0.0	0.0	1.0	0.0
77376.0	0	2	661	0	23	66	2759	1.0	0.0	0.0	1.0	0.0
62998.0	0	1	463	0	19	70	3129	1.0	0.0	0.0	1.0	0.0
61331.0	0	2	632	0	23	64	3126	0.0	1.0	0.0	1.0	0.0
73448.0	0	0	725	0	19	53	2762	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	1	725	0	19	59	3090	1.0	0.0	0.0	1.0	0.0
41551.0	0	2	279	0	16	58	3176	1.0	0.0	0.0	1.0	0.0
62981.0	0	0	1482	1	23	55	3326	1.0	0.0	0.0	1.0	0.0
9548.0	0	1	29	0	6	46	3547	0.0	1.0	0.0	0.0	1.0
33762.0	0	3	106	0	9	63	3214	1.0	0.0	0.0	1.0	0.0
35860.0	1	2	49	1	6	49	2898	0.0	1.0	0.0	1.0	0.0
36921.0	0	2	38	0	7	57	3193	0.0	1.0	0.0	1.0	0.0
92859.0	0	0	2077	0	22	30	3475	0.0	1.0	0.0	1.0	0.0
65104.0	1	1	1053	0	17	46	3084	1.0	0.0	0.0	1.0	0.0
86111.0	0	0	1385	0	23	60	3293	1.0	0.0	0.0	1.0	0.0
68352.0	0	1	871	0	25	48	3162	0.0	1.0	0.0	1.0	0.0
41883.0	0	1	312	0	12	34	3324	1.0	0.0	0.0	1.0	0.0
59809.0	0	2	877	0	15	46	3476	1.0	0.0	0.0	1.0	0.0
23957.0	1	1	68	0	6	47	3466	1.0	0.0	0.0	1.0	0.0
38547.0	0	1	22	0	4	41	3162	1.0	0.0	0.0	1.0	0.0
35688.0	0	3	211	0	16	49	3533	1.0	0.0	0.0	1.0	0.0
49605.0	0	0	127	0	8	56	2865	1.0	0.0	0.0	1.0	0.0
59354.0	0	2	459	0	16	69	2923	1.0	0.0	0.0	1.0	0.0
65747.0	0	1	460	1	19	53	2853	1.0	0.0	0.0	1.0	0.0
46344.0	0	1	429	0	17	50	3419	1.0	0.0	0.0	1.0	0.0
34176.0	0	1	89	0	11	34	2698	0.0	1.0	0.0	1.0	0.0
61010.0	0	1	1021	0	26	70	3514	1.0	0.0	0.0	1.0	0.0
69372.0	1	0	1381	2	21	73	3352	1.0	0.0	0.0	1.0	0.0
49967.0	0	1	306	0	15	64	3183	0.0	1.0	0.0	1.0	0.0
60199.0	0	3	18	0	4	44	3059	0.0	1.0	0.0	1.0	0.0
55375.0	0	1	162	0	9	45	3112	1.0	0.0	0.0	1.0	0.0
80317.0	0	0	1231	0	18	67	3170	0.0	1.0	0.0	1.0	0.0
30523.0	0	3	13	0	4	64	3395	0.0	1.0	0.0	1.0	0.0
70356.0	0	0	1706	0	27	77	3636	1.0	0.0	0.0	1.0	0.0
23228.0	0	1	121	0	11	38	2916	1.0	0.0	0.0	1.0	0.0
74165.0	0	0	1293	0	20	47	3397	0.0	1.0	0.0	1.0	0.0
157243.0	0	1	1608	0	37	49	3034	1.0	0.0	0.0	1.0	0.0
43482.0	0	3	88	0	9	56	3085	1.0	0.0	0.0	1.0	0.0
62551.0	0	0	421	1	18	69	3080	0.0	1.0	0.0	1.0	0.0
52332.0	0	0	259	1	12	63	3162	0.0	1.0	0.0	1.0	0.0
66951.0	0	0	1117	0	15	34	3360	0.0	1.0	0.0	1.0	0.0
26091.0	0	2	89	0	9	65	2981	1.0	0.0	0.0	1.0	0.0
33456.0	0	2	36	0	6	57	2926	1.0	0.0	0.0	1.0	0.0
28718.0	0	1	57	0	7	40	3208	1.0	0.0	0.0	1.0	0.0
50447.0	0	2	148	0	8	52	2926	1.0	0.0	0.0	1.0	0.0
53537.0	0	2	93	0	8	63	3007	1.0	0.0	0.0	1.0	0.0
52074.0	0	1	119	1	7	55	2943	0.0	1.0	0.0	1.0	0.0
80427.0	0	1	1835	0	28	47	3424	1.0	0.0	0.0	1.0	0.0
83837.0	1	0	1318	2	25	74	3417	1.0	0.0	0.0	1.0	0.0
38853.0	0	2	45	0	7	52	2894	1.0	0.0	0.0	1.0	0.0
38285.0	0	3	10	0	4	63	2862	1.0	0.0	0.0	1.0	0.0
78497.0	0	0	978	1	25	71	3390	1.0	0.0	0.0	1.0	0.0
51650.0	0	1	191	0	10	46	2728	1.0	0.0	0.0	1.0	0.0
16248.0	0	1	57	0	9	34	2759	1.0	0.0	0.0	1.0	0.0
66835.0	0	0	1033	0	24	76	3131	1.0	0.0	0.0	1.0	0.0
30477.0	0	1	66	0	6	38	3015	1.0	0.0	0.0	1.0	0.0
28249.0	0	0	43	0	6	61	2871	1.0	0.0	0.0	0.0	1.0
25271.0	0	1	50	0	5	39	3635	1.0	0.0	0.0	1.0	0.0
32303.0	0	1	39	0	7	52	2822	0.0	1.0	0.0	1.0	0.0
61286.0	0	1	608	0	18	56	3363	1.0	0.0	0.0	1.0	0.0
74068.0	0	0	1581	0	24	46	3324	1.0	0.0	0.0	1.0	0.0
45759.0	0	2	68	0	7	58	3348	1.0	0.0	0.0	1.0	0.0
24882.0	0	1	80	1	5	44	3515	1.0	0.0	0.0	0.0	1.0
66973.0	0	0	1282	0	28	33	3265	1.0	0.0	0.0	1.0	0.0
36640.0	0	1	65	0	6	122	3133	0.0	1.0	0.0	1.0	0.0
38872.0	0	1	91	0	8	34	3252	1.0	0.0	0.0	1.0	0.0
51148.0	0	2	315	0	16	49	3353	1.0	0.0	0.0	1.0	0.0
31353.0	0	2	31	0	6	45	3039	1.0	0.0	0.0	1.0	0.0
69661.0	0	0	834	0	23	42	2904	1.0	0.0	0.0	1.0	0.0
80067.0	0	0	1600	1	17	68	3140	1.0	0.0	0.0	1.0	0.0
86718.0	0	0	1270	0	17	68	3385	1.0	0.0	0.0	1.0	0.0
46854.0	1	2	263	1	15	49	2947	0.0	1.0	0.0	1.0	0.0
69142.0	0	1	535	1	19	70	2857	0.0	1.0	0.0	1.0	0.0
75922.0	0	0	1295	0	18	54	3147	0.0	1.0	0.0	1.0	0.0
63693.0	0	1	1150	0	29	44	3115	0.0	1.0	0.0	1.0	0.0
102160.0	1	0	1240	3	26	45	3726	1.0	0.0	0.0	1.0	0.0
40637.0	0	2	38	0	6	57	3204	0.0	1.0	0.0	1.0	0.0
18890.0	1	0	35	1	4	38	3483	0.0	1.0	0.0	1.0	0.0
29604.0	0	1	53	1	5	34	3178	1.0	0.0	0.0	1.0	0.0
48721.0	0	2	293	0	17	59	3269	0.0	1.0	0.0	1.0	0.0
44794.0	0	1	65	0	6	56	2819	1.0	0.0	0.0	1.0	0.0
64497.0	1	1	1804	1	29	68	3485	0.0	1.0	0.0	1.0	0.0
46097.0	0	1	241	0	15	66	3312	1.0	0.0	0.0	1.0	0.0
77972.0	0	0	1101	0	20	68	2960	1.0	0.0	0.0	1.0	0.0
44377.0	0	2	264	0	19	54	3637	1.0	0.0	0.0	1.0	0.0
46014.0	0	2	541	0	26	48	3381	1.0	0.0	0.0	1.0	0.0
70951.0	0	0	1198	0	17	37	3307	1.0	0.0	0.0	1.0	0.0
41443.0	0	1	482	0	20	45	3033	1.0	0.0	0.0	1.0	0.0
52195.0	0	3	17	0	4	44	2698	0.0	1.0	0.0	1.0	0.0
83790.0	0	0	1615	2	25	74	3083	1.0	0.0	0.0	1.0	0.0
44551.0	0	1	285	0	12	68	3159	0.0	1.0	0.0	1.0	0.0
69508.0	0	1	1135	0	28	42	3449	1.0	0.0	0.0	1.0	0.0
45204.0	0	1	114	0	7	34	2729	1.0	0.0	0.0	1.0	0.0
72460.0	0	0	1047	0	16	53	3084	1.0	0.0	0.0	1.0	0.0
77622.0	0	2	714	0	22	52	2933	1.0	0.0	0.0	1.0	0.0
30732.0	0	1	185	0	13	42	3281	1.0	0.0	0.0	1.0	0.0
63887.0	0	1	1245	0	32	60	3546	0.0	1.0	0.0	1.0	0.0
42011.0	0	1	189	0	12	44	3317	1.0	0.0	0.0	1.0	0.0
51369.0	0	1	576	0	16	46	3469	1.0	0.0	0.0	1.0	0.0
51537.0	0	1	1103	0	18	70	3512	0.0	1.0	0.0	1.0	0.0
79930.0	0	0	1753	0	17	50	3547	1.0	0.0	0.0	1.0	0.0
34320.0	0	1	17	0	4	36	2990	1.0	0.0	0.0	1.0	0.0
37070.0	1	2	433	0	23	56	3323	0.0	1.0	0.0	1.0	0.0
81975.0	0	1	1588	1	14	60	3281	0.0	1.0	0.0	1.0	0.0
38590.0	0	1	22	0	4	51	3267	1.0	0.0	0.0	1.0	0.0
15033.0	0	0	19	0	5	71	2931	0.0	1.0	0.0	1.0	0.0
62745.0	0	1	1117	0	29	57	3320	1.0	0.0	0.0	1.0	0.0
22212.0	0	1	69	0	8	47	3147	1.0	0.0	0.0	1.0	0.0
23661.0	0	1	23	0	5	40	3300	1.0	0.0	0.0	1.0	0.0
79761.0	0	1	605	0	19	64	3302	0.0	1.0	0.0	1.0	0.0
7500.0	0	1	57	0	11	49	3042	0.0	1.0	0.0	1.0	0.0
60182.0	0	1	22	0	4	129	2900	0.0	1.0	0.0	1.0	0.0
73455.0	0	0	2088	1	22	54	3101	0.0	1.0	0.0	1.0	0.0
64961.0	0	1	1009	0	16	64	3410	1.0	0.0	0.0	1.0	0.0
22804.0	0	1	26	0	5	51	3190	0.0	1.0	0.0	1.0	0.0
73687.0	1	0	1627	1	22	32	3070	1.0	0.0	0.0	1.0	0.0
61074.0	0	1	1102	0	31	64	3538	1.0	0.0	0.0	1.0	0.0
31686.0	0	2	17	0	6	58	2911	1.0	0.0	0.0	1.0	0.0
80134.0	1	1	1690	3	16	50	3262	1.0	0.0	0.0	1.0	0.0
75027.0	0	1	1390	0	21	69	3158	1.0	0.0	0.0	1.0	0.0
67546.0	0	0	2126	0	20	34	3524	1.0	0.0	0.0	1.0	0.0
65176.0	0	1	1531	0	25	53	3465	1.0	0.0	0.0	1.0	0.0
31160.0	0	1	64	0	7	47	3143	0.0	1.0	0.0	1.0	0.0
29938.0	0	1	26	0	6	37	3102	0.0	1.0	0.0	1.0	0.0
102692.0	1	0	1112	4	29	48	3278	0.0	1.0	0.0	1.0	0.0
26490.0	0	0	210	0	11	64	3502	1.0	0.0	0.0	1.0	0.0
75702.0	0	2	1148	0	26	55	3526	1.0	0.0	0.0	1.0	0.0
30899.0	0	1	33	0	6	48	3481	0.0	1.0	0.0	1.0	0.0
63342.0	0	1	1101	1	19	61	3478	1.0	0.0	0.0	1.0	0.0
45989.0	0	1	322	0	16	58	3472	0.0	1.0	0.0	1.0	0.0
18701.0	0	2	44	0	10	58	3306	0.0	1.0	0.0	1.0	0.0
40737.0	0	3	17	0	4	65	3178	0.0	1.0	0.0	1.0	0.0
15287.0	1	1	31	1	6	43	3484	0.0	1.0	0.0	1.0	0.0
69674.0	0	2	845	0	25	54	3260	0.0	1.0	0.0	1.0	0.0
44159.0	0	1	275	0	15	52	2869	1.0	0.0	0.0	1.0	0.0
37717.0	0	1	25	0	4	44	3440	1.0	0.0	0.0	1.0	0.0
43776.0	1	2	275	0	17	70	3341	1.0	0.0	0.0	1.0	0.0
38179.0	0	2	90	0	11	56	3329	1.0	0.0	0.0	1.0	0.0
80124.0	0	0	1495	1	19	59	2860	1.0	0.0	0.0	1.0	0.0
38097.0	1	2	184	1	11	52	3479	1.0	0.0	0.0	1.0	0.0
72940.0	0	0	981	0	13	52	3232	1.0	0.0	0.0	1.0	0.0
22070.0	0	1	67	0	8	52	3302	1.0	0.0	0.0	1.0	0.0
69267.0	1	0	1635	0	14	69	3502	0.0	1.0	0.0	1.0	0.0
31788.0	0	1	60	0	10	39	2958	0.0	1.0	0.0	1.0	0.0
61905.0	0	1	231	0	12	47	2945	1.0	0.0	0.0	1.0	0.0
29315.0	0	2	48	0	10	62	2882	1.0	0.0	0.0	1.0	0.0
33378.0	0	2	99	0	9	59	3249	0.0	1.0	0.0	1.0	0.0
66313.0	0	1	770	0	23	59	3143	1.0	0.0	0.0	1.0	0.0
60714.0	1	0	957	0	23	66	3385	0.0	1.0	0.0	1.0	0.0
77882.0	0	0	818	0	12	41	2917	1.0	0.0	0.0	1.0	0.0
69867.0	1	0	925	1	17	36	3367	0.0	1.0	0.0	1.0	0.0
63841.0	0	1	908	0	22	54	3291	0.0	1.0	0.0	1.0	0.0
24480.0	0	1	102	0	10	41	3096	1.0	0.0	0.0	0.0	1.0
51369.0	0	1	576	0	16	46	3469	1.0	0.0	0.0	1.0	0.0
37760.0	0	0	317	0	13	76	3524	1.0	0.0	0.0	1.0	0.0
65640.0	0	1	461	0	15	48	3034	1.0	0.0	0.0	1.0	0.0
44319.0	0	2	37	0	7	47	2930	1.0	0.0	0.0	1.0	0.0
30631.0	0	1	70	0	7	48	3061	1.0	0.0	0.0	1.0	0.0
75278.0	0	0	930	0	23	70	3373	1.0	0.0	0.0	1.0	0.0
50898.0	0	2	859	0	33	66	3189	1.0	0.0	0.0	1.0	0.0
79946.0	0	0	1478	0	22	56	2698	0.0	1.0	0.0	1.0	0.0
35416.0	0	0	390	0	16	73	3238	0.0	1.0	0.0	1.0	0.0
32414.0	0	0	52	1	5	38	3305	1.0	0.0	0.0	1.0	0.0
38361.0	0	1	137	0	10	53	3041	1.0	0.0	0.0	1.0	0.0
82497.0	0	0	1919	1	19	42	3463	1.0	0.0	0.0	1.0	0.0
16626.0	0	2	68	0	9	51	3022	1.0	0.0	0.0	1.0	0.0
29672.0	0	2	25	0	4	57	3065	1.0	0.0	0.0	1.0	0.0
55951.0	0	1	1374	2	23	70	3532	1.0	0.0	0.0	1.0	0.0
35388.0	0	1	32	0	5	34	3218	0.0	1.0	0.0	1.0	0.0
42386.0	0	1	100	0	7	36	3389	1.0	0.0	0.0	1.0	0.0
68627.0	0	0	825	0	12	40	3067	0.0	1.0	0.0	1.0	0.0
57912.0	0	1	916	1	28	57	2961	0.0	1.0	0.0	1.0	0.0
35246.0	0	2	62	0	11	64	2931	0.0	1.0	0.0	1.0	0.0
58821.0	0	1	728	0	21	66	3058	1.0	0.0	0.0	1.0	0.0
46377.0	0	1	90	0	7	44	3034	1.0	0.0	0.0	1.0	0.0
39747.0	0	1	273	0	13	34	2934	0.0	1.0	0.0	1.0	0.0
23976.0	0	1	66	0	10	38	3041	1.0	0.0	0.0	1.0	0.0
80950.0	0	0	1213	1	23	61	3315	1.0	0.0	0.0	1.0	0.0
27038.0	1	0	107	0	7	56	3506	0.0	1.0	0.0	1.0	0.0
77457.0	0	0	1157	1	18	75	2914	0.0	1.0	0.0	1.0	0.0
64100.0	0	1	546	1	18	58	3120	1.0	0.0	0.0	1.0	0.0
42670.0	0	0	241	0	11	30	3285	1.0	0.0	0.0	1.0	0.0
12571.0	0	1	53	0	11	46	3019	0.0	1.0	0.0	1.0	0.0
22574.0	0	3	37	0	7	55	3101	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	0	1611	2	24	33	3337	1.0	0.0	0.0	1.0	0.0
70893.0	0	0	1508	0	23	46	3249	0.0	1.0	0.0	1.0	0.0
54198.0	0	2	235	0	16	56	3051	1.0	0.0	0.0	1.0	0.0
28839.0	0	2	32	0	7	66	2730	1.0	0.0	0.0	1.0	0.0
40321.0	0	2	102	0	8	50	3192	1.0	0.0	0.0	1.0	0.0
66503.0	0	1	401	0	15	37	3541	0.0	1.0	0.0	1.0	0.0
30833.0	0	2	28	0	6	71	3205	1.0	0.0	0.0	1.0	0.0
52247.25135379061	0	3	1052	2	21	52	3167	0.0	1.0	0.0	1.0	0.0
64795.0	0	1	680	0	21	51	3385	1.0	0.0	0.0	1.0	0.0
34421.0	0	1	30	0	4	48	3395	1.0	0.0	0.0	1.0	0.0
47025.0	0	2	20	0	4	57	2792	0.0	1.0	0.0	1.0	0.0
64325.0	0	1	1307	0	23	61	3219	0.0	1.0	0.0	1.0	0.0
40464.0	0	1	630	0	24	69	3097	0.0	1.0	0.0	1.0	0.0
62187.0	0	0	1283	0	18	65	3275	1.0	0.0	0.0	1.0	0.0
14849.0	0	1	65	0	9	46	3364	0.0	1.0	0.0	1.0	0.0
27255.0	0	1	37	0	5	38	3210	1.0	0.0	0.0	1.0	0.0
54432.0	0	3	38	0	5	72	3154	1.0	0.0	0.0	1.0	0.0
29999.0	0	1	160	0	12	36	3358	0.0	1.0	0.0	1.0	0.0
24072.0	0	1	23	0	4	39	3296	0.0	1.0	0.0	1.0	0.0
33996.0	0	0	71	0	6	33	3089	0.0	1.0	0.0	1.0	0.0
66334.0	1	1	1161	0	19	66	3339	1.0	0.0	0.0	1.0	0.0
35178.0	1	1	59	1	5	51	3128	1.0	0.0	0.0	1.0	0.0
22010.0	0	1	33	0	7	39	3221	1.0	0.0	0.0	1.0	0.0
62204.0	0	2	946	0	22	62	3424	0.0	1.0	0.0	1.0	0.0
75693.0	1	0	1442	3	22	54	3604	0.0	1.0	0.0	1.0	0.0
30675.0	0	1	62	0	5	50	3422	1.0	0.0	0.0	1.0	0.0
83003.0	1	0	1674	1	22	57	3340	1.0	0.0	0.0	1.0	0.0
83532.0	0	0	1853	1	15	123	3133	1.0	0.0	0.0	1.0	0.0
68655.0	0	0	1538	0	21	34	3486	0.0	1.0	0.0	1.0	0.0
41411.0	0	0	139	0	8	36	3209	0.0	1.0	0.0	1.0	0.0
55212.0	0	1	1182	2	20	53	3440	1.0	0.0	0.0	1.0	0.0
